osd_id,glds_id,title,organism,tissue,tissue_stratum,project_type,project_id,mission,flight_program,factor_type
OSD-352,GLDS-352,Multi-modal transcriptional and chromatin accessibility analysis of brains from mice flown on the RR-3 mission,Mus musculus,Brain,brain,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-457,GLDS-457,Expression profiles in multiple tissues of WT and Nrf2-knockout mouse under space flight,Mus musculus,Cerebrum,brain,Spaceflight Study,MHU-3,SpaceX-14,International Space Station (ISS),Space Flight; tissue; Genotype
OSD-525,GLDS-525,Transcriptional profiling of cerebellums from mice flown on the RR-23 mission,Mus musculus,Cerebellum,brain,Spaceflight Study,RR-23,SpaceX-21,International Space Station (ISS),Space Flight
OSD-561,GLDS-556,Bulk RNA sequencing and spatially resolved transcriptional profiling of cerebellums from mice flown on the RRRM-2 mission,Mus musculus,right hemisphere of cerebellum,brain,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; Euthanasia Location; age
OSD-562,GLDS-557,Bulk RNA sequencing and spatially resolved transcriptional profiling of hippocampi from mice flown on the RRRM-2 mission,Mus musculus,Right hippocampus,brain,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; Euthanasia Location; age
OSD-563,GLDS-568,Bulk RNA sequencing and spatially resolved transcriptional profiling of cerebellums from mice flown on the RR-10 mission,Mus musculus,right hemisphere of cerebellum,brain,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight
OSD-564,GLDS-569,Bulk RNA sequencing and spatially resolved transcriptional profiling of hippocampi from mice flown on the RR-10 mission,Mus musculus,Right hippocampus,brain,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight
OSD-612,GLDS-588,Bulk RNA sequencing and single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RR-10 mission,Mus musculus,Left cerebral hemisphere,brain,Spaceflight Study,RR-10,SpaceX-21,International Space Station (ISS),Space Flight
OSD-613,GLDS-589,Bulk RNA sequencing and single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RRRM-2 mission,Mus musculus,Left cerebral hemisphere,brain,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age
OSD-83,GLDS-83,Comparative Transcriptomic Analysis of Adult Medaka Tissues Sampled after Adaptation to a Space Environment,Oryzias latipes,Brain,brain,Spaceflight Study,,Expedition 33/34,International Space Station,Space Flight; Tissue
