ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,85,-0.7787438054491748,-2.6263363772759085,1e-10,1.68625e-8,1.2302631578947368e-8,2068,"tags=68%, list=13%, signal=59%",MRPL1/MRPL13/MRPL48/MRPS18A/MRPL12/MRPS31/MRPL51/MRPS26/MRPS9/MRPL42/MRPS17/MRPL21/MRPL22/MRPL3/MRPL15/MRPL33/MRPL19/MRPL40/MRPS33/TSFM/MRPS35/MRPL34/MRPL43/MRPS22/MRPS18B/MRPL2/MRPL32/MRPL27/MRPL28/MRPS34/MRPL44/MRPS7/GADD45GIP1/MRPL11/MRPL24/MRPL55/MRPL57/MRPL54/MRPS21/MRPL14/MRPS24/MRPL46/MRPS23/MRPL52/MRPS14/MRPS30/MRPL17/MRPL20/MRPS16/MRPS11/MRPL36/MRPL53/MRPS6/AURKAIP1/CHCHD1/MRPL18/MRPL47/MRPS28
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,95,-0.7612805472601799,-2.598030447409411,1e-10,1.68625e-8,1.2302631578947368e-8,2068,"tags=63%, list=13%, signal=55%",MRPL1/MRPL13/MRPL48/MRPS18A/MRPL12/MRPS31/MRPL51/MRPS26/MRPS9/MRPL42/MRPS17/MRPL21/MRPL22/MRPL3/MRPL15/MRPL33/MRPL19/MRPL40/MRPS33/TSFM/MTIF3/MRPS35/MRPL34/MRPL43/MRPS22/MRPS18B/MRPL2/MRPL32/MRPL27/MRPL28/MRPS34/MRPL44/MRPS7/GADD45GIP1/MRPL11/MRPL24/MRPL55/MRPL57/MRPL54/MRPS21/MRPL14/MRPS24/MRPL46/MRPS23/MRPL52/MRPS14/MRPS30/MRPL17/MRPL20/MRPS16/MRPS11/MRPL36/MRPL53/MRPS6/AURKAIP1/CHCHD1/MRPL18/MRPL47/MRPS28/NDUFAB1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,132,-0.712640550449726,-2.557171800339854,1e-10,1.68625e-8,1.2302631578947368e-8,1701,"tags=60%, list=11%, signal=54%",COX7A1/TTC19/ETFA/TACO1/NDUFV2/TMEM186/COX4I2/COX6A1/COX16/PYURF/NDUFS2/NDUFB4/COX20/NDUFV1/NDUFAF6/SMIM20/COX8A/NDUFA12/NDUFA3/UQCC2/HSCB/NDUFAF5/SURF1/NDUFAF1/TMEM126A/NDUFA2/NDUFS4/SDHC/SCO1/COX4I1/NDUFB8/UQCRB/UQCRFS1/NDUFA4/NDUFB6/COX19/FXN/NDUFC1/NDUFS3/HIGD1A/NDUFAF4/NDUFS8/NDUFB1/COX7A2/CYC1/NDUFA5/COX7B/NDUFA7/UQCR11/NDUFAF2/CYCS/COX17/NDUFB5/SCO2/NDUFA6/NDUFV3/UQCR10/COA3/UQCRHL/NDUFS6/COX5A/NDUFS7/COX6B1/NDUFA11/SDHD/COX14/NDUFB2/UQCRQ/NDUFA13/NDUFB11/NDUFB7/NDUFB3/NDUFAF3/NDUFC2/NDUFAB1/TIMM21/NDUFA1/COQ10B/NDUFB10
REACTOME_COMPLEX_I_BIOGENESIS,REACTOME_COMPLEX_I_BIOGENESIS,57,-0.8013622028403511,-2.5435811178347767,1e-10,1.68625e-8,1.2302631578947368e-8,1634,"tags=68%, list=11%, signal=61%",PYURF/NDUFS2/NDUFB4/NDUFV1/NDUFAF6/NDUFA12/NDUFA3/HSCB/NDUFAF5/NDUFAF1/TMEM126A/NDUFA2/NDUFS4/NDUFB8/NDUFB6/NDUFC1/NDUFS3/NDUFAF4/NDUFS8/NDUFB1/NDUFA5/NDUFA7/NDUFAF2/NDUFB5/NDUFA6/NDUFV3/NDUFS6/NDUFS7/NDUFA11/NDUFB2/NDUFA13/NDUFB11/NDUFB7/NDUFB3/NDUFAF3/NDUFC2/NDUFAB1/NDUFA1/NDUFB10
REACTOME_TRANSLATION,REACTOME_TRANSLATION,203,-0.6593232079652959,-2.491330322511949,1e-10,1.68625e-8,1.2302631578947368e-8,3000,"tags=58%, list=19%, signal=47%",EARS2/SEC61A1/RCHY1/MTRF1L/UBC/AIMP1/CARS2/MRPS18C/MRPL30/WARS2/SSR2/NARS2/PSMC6/SPCS3/YARS2/MRPL4/ERAL1/UBE2D2/SSR3/ZNF598/LARS2/MRPS10/SRPRB/MRPL1/MRPL13/MRPL48/MRPS18A/MRPL12/MRPS31/PPA2/MRPL51/MRPS26/MRPS9/MRPL42/MRPS17/MRPL21/MRPL22/MRPL3/FARS2/MRPL15/MRPL33/MRPL19/PSMD6/MRPL40/MRPS33/TSFM/MTIF3/FAU/PSMA6/PSMB5/MRPS35/MRPL34/MRPL43/PSMA3/SRP14/MRPS22/MRPS18B/SEC61G/SEC11A/MRPL2/MRPL32/MRPL27/PSMA1/MRPL28/MRPS34/MRPL44/MRPS7/PSMA5/GADD45GIP1/MRPL11/PSMB1/MRPL24/MRPL55/RPLP0/PSMA2/MRPL57/MRPL54/MRPS21/SSR4/MRPL14/MRPS24/RPSA/FARSA/MRPL46/MRPS23/MRPL52/MRPS14/MRPS30/SPCS2/PSMB4/PSMD14/ADRM1/MRPL17/SRP19/MRPL20/PSMD13/MRPS16/RPLP2/MRPS11/MRPL36/MRPL53/PSMB6/MRPS6/PSMA7/AIMP2/TRMT112/HARS2/AURKAIP1/CHCHD1/MRPL18/SPCS1/SEC61B/MRPL47/PSMB3/SEC11C/MRPS28/NDUFAB1/ANKZF1
REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING,186,-0.5666095666388792,-2.112757807490166,1e-10,1.68625e-8,1.2302631578947368e-8,2596,"tags=42%, list=17%, signal=35%",SF3A1/RBM10/PRPF4/PRKRIP1/SF3B4/PRPF3/GTF2F1/SRSF1/SNW1/SNRNP70/HNRNPM/LUC7L3/SMNDC1/HNRNPH1/PPIG/SAP18/PPIL4/HNRNPF/SRSF10/WDR70/PCBP1/UBL5/LENG1/BCAS2/HNRNPC/MAGOHB/PPP1R8/POLR2G/PHF5A/NCBP2/PPIE/SNRPA1/YBX1/PRPF38A/SNRNP25/CCAR1/SNRNP48/RBM7/POLR2H/POLR2C/PPIL1/SMU1/PNN/POLR2E/SNIP1/PTBP1/SF3B5/POLR2F/SNRPB/SNRPD1/LSM8/PPIH/POLR2D/SF3B6/SNRPF/HNRNPL/MFAP1/SRSF9/SNRNP27/TRA2B/SRSF3/LSM6/LSM2/ZMAT5/POLR2L/LSM5/POLR2K/SNRNP35/SNRPD2/POLR2J/LSM4/SRSF7/POLR2I/CCDC12/MAGOH/HNRNPA2B1/LSM7/SYF2
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,203,-0.5577181242536261,-2.1074035580447537,1e-10,1.68625e-8,1.2302631578947368e-8,2256,"tags=45%, list=15%, signal=39%",SIRT4/COX7A1/SDHAF1/TTC19/ETFA/TACO1/NDUFV2/TMEM186/COX4I2/D2HGDH/FH/ISCA2/COX6A1/COX16/GID4/PYURF/SUCLG1/NDUFS2/GLO1/NDUFB4/COX20/NDUFV1/NDUFAF6/SMIM20/COX8A/NDUFA12/NDUFA3/UQCC2/HSCB/NDUFAF5/SURF1/SLC25A14/NDUFAF1/TMEM126A/NDUFA2/NDUFS4/SDHC/SCO1/COX4I1/NDUFB8/UQCRB/UQCRFS1/NDUFA4/NDUFB6/COX19/FXN/NDUFC1/NDUFS3/HIGD1A/HAGH/NDUFAF4/NDUFS8/MPC1/NDUFB1/COX7A2/CYC1/NDUFA5/MPC2/COX7B/NDUFA7/UQCR11/NDUFAF2/CYCS/COX17/NDUFB5/SCO2/NDUFA6/NDUFV3/UQCR10/COA3/UQCRHL/NDUFS6/COX5A/NDUFS7/COX6B1/NDUFA11/SDHD/COX14/NDUFB2/UQCRQ/NDUFA13/NDUFB11/NDUFB7/NDUFB3/NDUFAF3/NDUFC2/NDUFAB1/TIMM21/NDUFA1/COQ10B/NDUFB10
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,256,-0.5298993234619523,-2.061450293756368,1e-10,1.68625e-8,1.2302631578947368e-8,2596,"tags=38%, list=17%, signal=32%",SF3A1/RBM10/NXF1/PRPF4/PRKRIP1/SF3B4/PRPF3/GTF2F1/PABPN1/CPSF6/SRSF1/SNW1/NUP43/SNRNP70/HNRNPM/LUC7L3/SMNDC1/HNRNPH1/PPIG/SAP18/PPIL4/HNRNPF/WTAP/SRSF10/WDR70/PCBP1/UBL5/LENG1/CSTF3/BCAS2/HNRNPC/PAPOLA/MAGOHB/PPP1R8/THOC1/POLR2G/PHF5A/NCBP2/PPIE/SNRPA1/YBX1/PRPF38A/SNRNP25/CCAR1/SNRNP48/SARNP/RBM7/POLR2H/POLR2C/PPIL1/SMU1/PNN/POLR2E/SNIP1/PTBP1/SF3B5/PPP1CA/THOC6/POLR2F/NUP85/CLP1/DDX39A/SNRPB/SNRPD1/LSM8/PPIH/POLR2D/SF3B6/NUP35/SNRPF/HNRNPL/MFAP1/SRSF9/SNRNP27/THOC7/TRA2B/SRSF3/LSM6/LSM2/ZMAT5/POLR2L/LSM5/SEC13/NXT1/POLR2K/SNRNP35/SNRPD2/POLR2J/LSM4/SRSF7/POLR2I/CCDC12/MAGOH/HNRNPA2B1/LSM7/SYF2
REACTOME_NEURONAL_SYSTEM,REACTOME_NEURONAL_SYSTEM,373,0.4496990770915246,1.8547110621040332,3.402309379331624e-10,5.099683725242623e-8,3.7206541165790274e-8,3731,"tags=37%, list=24%, signal=29%",GNG2/KCND3/FLOT2/PRKACB/GABRB1/GABBR1/GNG3/GABRB3/DLG3/KCNC4/PRKAB2/ADCY7/CACNB2/MAPK1/MAPK3/CAMK2G/SLITRK3/GJC1/GRIA3/DNAJC5/ERBB4/NAAA/NLGN3/CASK/KCNJ16/KCNA3/HOMER2/SYT10/CACNA1B/NSF/PPFIA2/GRIK4/CPLX1/KCNN3/TUBA1C/RASGRF2/PRKAA2/KCNMA1/ABAT/LRFN2/GABBR2/KCNK9/PRKAR2A/LRRTM1/SLC6A1/SLC17A7/CHRNA4/KCNF1/RTN3/KCNJ10/PDLIM5/SYN2/NRXN1/SRC/ADCY6/ALDH5A1/SLC1A1/CAMK2D/PTPRF/FLOT1/GABRB2/NEFL/SYT1/GRM1/CAMKK1/KCNA2/PPM1E/SLITRK2/PRKAR1B/KCNN1/LRRTM2/PTPRS/SLITRK5/RAC1/SHANK2/SYT7/CACNG3/KCNQ3/PRKCG/MYO6/APBA1/KCNH2/GAD2/AP2A1/PRKCA/GRIN1/KCNA4/PRKACA/LRFN3/CACNB1/SYN3/KCNC2/RASGRF1/DLGAP4/EPB41L3/GLS/NLGN2/SLC6A11/AKAP5/SLC22A2/TUBB3/GRIN2D/HCN4/NBEA/KCNG1/DLGAP1/GNB1/IL1RAPL1/PPFIA3/GNAL/GRIN2A/GABRA5/PPFIBP2/GABRR2/GABRA3/GLUL/PRKAR1A/GNAI2/CHRNB2/KCNJ3/GRIP1/PLCB1/LRRTM4/HTR3A/STX1A/GLRA3/ACHE/CACNB3/ADCY4/KRAS/PDPK1/CHRNA6/PPM1F/SLITRK1/KCNC3/DBNL/IL1RAP
REACTOME_MRNA_3_END_PROCESSING,REACTOME_MRNA_3_END_PROCESSING,128,-0.5797641522951689,-2.0694650207287464,4.214391896748407e-9,5.685214668713601e-7,4.147848866799748e-7,2702,"tags=45%, list=17%, signal=37%",TUT1/U2AF2/SF3A1/RBM10/SF3B4/GTF2F1/PABPN1/CPSF6/SRSF1/SNRNP70/HNRNPM/SMNDC1/HNRNPH1/HNRNPF/SRSF10/PCBP1/CSTF3/HNRNPC/PAPOLA/MAGOHB/PPP1R8/THOC1/POLR2G/PHF5A/NCBP2/SNRPA1/YBX1/CCAR1/SARNP/POLR2H/POLR2C/POLR2E/PTBP1/SF3B5/PPP1CA/THOC6/POLR2F/CLP1/DDX39A/SNRPB/SNRPD1/POLR2D/SF3B6/SNRPF/HNRNPL/SRSF9/THOC7/TRA2B/SRSF3/POLR2L/POLR2K/SNRPD2/POLR2J/SRSF7/POLR2I/MAGOH/HNRNPA2B1
