rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method
1,"2,3,7,8",3,-0.5917658397588565,-12.630160653390524,2.3433618030171937e-13,local_gmt_fallback
2,4,5,-0.014745385899760871,-11.781699339339568,1.6531058419841185e-12,local_gmt_fallback
3,Vemurafenib,1,-9.679257533432324,-9.679257533432324,2.092871030686971e-10,local_gmt_fallback
4,"3,3',4,4'",2,-3.8040778652507226,-7.595324315864705,2.5390759047034887e-08,local_gmt_fallback
5,Chlorambucil,2,-3.6680972126483713,-7.2407576354731775,5.74436945897152e-08,local_gmt_fallback
6,Formoterol,2,-3.475751762346362,-6.936082062002631,1.1585584203616169e-07,local_gmt_fallback
7,Casiigly,1,-6.92327778723654,-6.92327778723654,1.1932246395387305e-07,local_gmt_fallback
8,Bicalutamide,1,-6.515716548110959,-6.515716548110959,3.049884914947753e-07,local_gmt_fallback
9,Sangivamycin,1,-5.997730983814457,-5.997730983814457,1.0052382748819865e-06,local_gmt_fallback
10,Sulforaphane,2,-2.9476159591807494,-5.89138569900939,1.2841456974272953e-06,local_gmt_fallback
11,Sapphyrin,4,-1.667946424894694,-5.673525125447933,2.1206787008942784e-06,local_gmt_fallback
12,Arachidonic,1,-5.402471681858998,-5.402471681858998,3.958478752269614e-06,local_gmt_fallback
13,Ascorbic,2,-2.8458064515031696,-5.297254789546903,5.043653124242841e-06,local_gmt_fallback
14,Doxorubicin,2,-2.5592320383679046,-5.1152779338269685,7.668705609843875e-06,local_gmt_fallback
15,Actinomycin,2,-2.532058530231032,-5.0592294980525825,8.725101783164464e-06,local_gmt_fallback
16,Telapristone,1,-4.9890988484844945,-4.9890988484844945,1.0254185072102815e-05,local_gmt_fallback
17,Arc,2,-2.3315974321494113,-4.6432169472123395,2.2739612137438798e-05,local_gmt_fallback
18,Cetuximab,2,-2.298315414341015,-4.593755708484538,2.548263252695417e-05,local_gmt_fallback
19,Motexafin,4,-0.21352072892315724,-4.523424845374824,2.9962300449359994e-05,local_gmt_fallback
20,"1,25",2,-2.2603734514860814,-4.5125777272643814,3.072007507697279e-05,local_gmt_fallback
21,Bpde,2,-2.2604514591808442,-4.477301482434627,3.331950321488243e-05,local_gmt_fallback
22,Chlorpyrifos,2,-2.2619966217133394,-4.4145684049305345,3.8497417332416374e-05,local_gmt_fallback
23,Anastrozole,2,-2.208166065242009,-4.402295201479817,3.9600876508861016e-05,local_gmt_fallback
24,Luteolin,2,-2.1810817225160415,-4.310213539187698,4.8953805816259663e-05,local_gmt_fallback
25,Vx,1,-4.172620266061159,-4.172620266061159,6.72016186711291e-05,local_gmt_fallback
26,Cyfluthrin,2,-2.0406955314065587,-4.012779185481146,9.710035428954435e-05,local_gmt_fallback
27,Grepafloxacin,2,-1.961171358907247,-3.8777074149360375,0.0001325234047354357,local_gmt_fallback
28,Doxycycline,2,-1.9161742450809145,-3.814337986845596,0.0001533423141759707,local_gmt_fallback
29,Laccaic,2,-1.8535153006750174,-3.6384187240180634,0.00022992239569591448,local_gmt_fallback
30,Cytarabine,2,-1.7910823179218567,-3.58029100814679,0.00026285061158941867,local_gmt_fallback
31,Carboplatin,7,-0.05217386170730927,-3.4777359595090247,0.0003328618637119472,local_gmt_fallback
32,Citalopram,1,-3.4220324106279643,-3.4220324106279643,0.00037841434327110906,local_gmt_fallback
33,Sodium,6,-0.9543396735611507,-3.4220324106279643,0.00037841434327110906,local_gmt_fallback
34,Hydrogen,2,-1.714400282410454,-3.418935989997031,0.0003811219922449635,local_gmt_fallback
35,Dmnq,2,-1.6948343833985122,-3.3861380060976773,0.0004110190904920074,local_gmt_fallback
36,Temozolomide,2,-1.6866238983830701,-3.3232031203786274,0.0004751129627084447,local_gmt_fallback
37,Plx4720,2,-1.6609245983544367,-3.3067871177720725,0.0004934156068748134,local_gmt_fallback
38,Torcetrapib,2,-1.7011885241034126,-3.2351751779619504,0.0005818684667054234,local_gmt_fallback
39,Nickel,4,-0.09109816201564558,-3.231107119028612,0.000587344465751334,local_gmt_fallback
40,Trastuzumab,2,-1.6176484819048476,-3.231107119028612,0.000587344465751334,local_gmt_fallback
