ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,16/147,159/11448,0.10062893081761007,7.836734693877551,9.900693679896992,1.8262615958439892e-10,1.0409691096310739e-7,8.266236696978057e-8,NDUFB10/COQ10B/NDUFA1/TIMM21/NDUFAB1/NDUFC2/NDUFAF3/NDUFB3/NDUFB7/NDUFB11/NDUFA13/UQCRQ/NDUFB2/COX14/SDHD/NDUFA11,16
REACTOME_COMPLEX_I_BIOGENESIS,REACTOME_COMPLEX_I_BIOGENESIS,11/147,68/11448,0.16176470588235295,12.597839135654262,10.939726823660132,8.795944890247007e-10,2.506844293720397e-7,1.99066121200327e-7,NDUFB10/NDUFA1/NDUFAB1/NDUFC2/NDUFAF3/NDUFB3/NDUFB7/NDUFB11/NDUFA13/NDUFB2/NDUFA11,11
REACTOME_TRANSLATION,REACTOME_TRANSLATION,20/147,371/11448,0.05390835579514825,4.198250728862974,7.1422402655694475,5.3443389478487594e-8,1.0154244000912643e-5,8.063388587982339e-6,ANKZF1/NDUFAB1/MRPS28/SEC11C/PSMB3/MRPL47/SEC61B/SPCS1/MRPL18/CHCHD1/AURKAIP1/HARS2/TRMT112/AIMP2/PSMA7/MRPS6/PSMB6/MRPL53/MRPL36/MRPS11,20
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,16/147,261/11448,0.06130268199233716,4.774102744546094,7.034337880962162,2.273171799131254e-7,3.239269813762037e-5,2.5722733516485245e-5,NDUFB10/COQ10B/NDUFA1/TIMM21/NDUFAB1/NDUFC2/NDUFAF3/NDUFB3/NDUFB7/NDUFB11/NDUFA13/UQCRQ/NDUFB2/COX14/SDHD/NDUFA11,16
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,8/147,65/11448,0.12307692307692308,9.584929356357927,7.916097005629878,1.6608445368969247e-6,1.7638690857096296e-4,1.400671665475791e-4,CHCHD2/TIMM21/GRPEL1/TIMM17B/PAM16/TIMM44/TOMM7/TIMM13,8
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,10/147,115/11448,0.08695652173913043,6.771960958296361,7.094894336927801,2.114821502543805e-6,1.7638690857096296e-4,1.400671665475791e-4,NDUFAB1/MRPS28/MRPL47/MRPL18/CHCHD1/AURKAIP1/MRPS6/MRPL53/MRPL36/MRPS11,10
REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION,9/147,90/11448,0.1,7.7877551020408164,7.372971560592342,2.1661550175381415e-6,1.7638690857096296e-4,1.400671665475791e-4,MRPS28/MRPL47/MRPL18/CHCHD1/AURKAIP1/MRPS6/MRPL53/MRPL36/MRPS11,9
REACTOME_PROTEIN_LOCALIZATION,REACTOME_PROTEIN_LOCALIZATION,11/147,164/11448,0.06707317073170732,5.2234942757590845,6.213100327038755,8.227184222887294e-6,5.861868758807197e-4,4.654854231370443e-4,CHCHD2/TIMM21/GRPEL1/DHRS4/TIMM17B/SEC61B/PAM16/TIMM44/TOMM7/ACOT8/TIMM13,11
REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING,11/147,212/11448,0.05188679245283019,4.040816326530612,5.096808600384075,8.868806095726818e-5,0.005616910527293652,0.004460335229429862,SYF2/LSM7/HNRNPA2B1/MAGOH/CCDC12/POLR2I/SRSF7/LSM4/POLR2J/SNRPD2/SNRNP35,11
REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION,8/147,126/11448,0.06349206349206349,4.944606413994168,5.077774907751947,2.139664709732115e-4,0.012196088845473055,0.009684798159840101,PSMB3/CBX8/EED/LAMTOR4/LAMTOR2/PSMA7/PSMB6/RING1,8
