rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
1,Imatinib,4,-0.0186111872625266,-3.5436151397008966,0.0002860123987008,local_gmt_fallback,imatinib,Launched,Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor,ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET,hematologic malignancy|oncology,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
2,Metformin,2,-1.5987173165136264,-3.196221465562408,0.0006364708740796,local_gmt_fallback,metformin,Launched,insulin sensitizer,ACACB|PRKAB1,endocrinology,diabetes mellitus
4,Glipizide,2,-1.450537592915122,-2.87364760255411,0.0013376805038381,local_gmt_fallback,glipizide,Launched,sulfonylurea,ABCC8|KCNJ10|KCNJ11|PPARG,endocrinology,diabetes mellitus|hyperglycemia
6,Cadmium,5,-0.0024715972001448,-2.6910296186060982,0.0020369031574751,local_gmt_fallback,,,,,,
7,Quercetin,1,-2.281410665403011,-2.281410665403011,0.005231055581967,local_gmt_fallback,quercetin,Launched,polar auxin transport inhibitor,ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1,neurology/psychiatry|allergy,fatigue|allergic rhinitis|drowsiness
8,Leptin,1,-1.852306273249476,-1.852306273249476,0.0140505630054408,local_gmt_fallback,,,,,,
9,Carboplatin,8,-0.2617893579392957,-1.7671528167115056,0.0170941371189762,local_gmt_fallback,carboplatin,Launched,DNA alkylating agent|DNA inhibitor,,oncology,ovarian cancer
10,Zinc,2,-0.6735074953272518,-1.3465119423447478,0.045028559904512,local_gmt_fallback,,,,,,
11,Levofloxacin,1,-1.2844447160647892,-1.2844447160647892,0.0519463794943533,local_gmt_fallback,levofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,infectious disease|otolaryngology|pulmonary|urology,pneumonia|sinusitis|bronchitis|skin infections|prostatitis|urinary tract infections|pyelonephritis|anthrax|plague
13,Ciprofloxacin,2,-0.6318824722738003,-1.2510736643680402,0.05609528200003,local_gmt_fallback,ciprofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology,otitis
